id	NoAdaptersSRR925687_NoPcr__PE	NoAdaptersSRR925688_NoPcr__PE	NoAdaptersSRR925697_NoPcr__PE	NoAdaptersSRR925703_NoPcr__PE	NoAdaptersSRR925714_NoPcr__PE	NoAdaptersSRR925716_NoPcr__PE	NoAdaptersSRR925720_NoPcr__PE	NoAdaptersSRR925721_NoPcr__PE	NoAdaptersSRR925726_NoPcr__PE	NoAdaptersSRR934634_NoPcr__PE	NoAdaptersSRR934636_NoPcr__PE
ENSG00000000003.13	9.14	10.12	13.89	11.67	20.89	5.99	8.11	9.28	12.07	1.54	1.73
ENSG00000000419.11	63.57	36.11	95.07	69.44	51.78	26.26	47.17	26.72	34.78	48.23	29.81
ENSG00000000457.12	2.15	3.27	2.11	4.62	2.90	2.04	3.83	2.68	3.96	2.36	1.03
ENSG00000000460.15	8.08	3.81	10.82	12.39	14.07	9.63	15.14	4.42	12.33	11.66	1.30
ENSG00000000971.14	3.15	0.39	13.77	12.78	4.89	12.79	3.10	1.86	5.90	0.00	0.00
ENSG00000001036.12	14.29	27.91	86.99	45.57	87.34	53.78	26.31	55.50	66.13	36.29	16.33
ENSG00000001084.9	20.59	61.39	11.22	54.50	23.47	15.54	107.33	73.69	16.06	21.28	14.32
ENSG00000001167.13	12.23	13.68	34.71	47.36	13.08	23.19	18.47	20.95	15.49	17.00	42.35
ENSG00000001460.16	10.36	4.67	1.86	6.40	3.32	6.17	4.82	11.91	8.53	2.86	17.37
ENSG00000001461.15	43.61	53.86	1.62	9.08	3.33	36.66	40.24	39.42	26.13	42.74	13.93
ENSG00000001497.15	36.55	17.77	69.54	31.19	81.98	28.66	37.36	26.13	42.61	47.38	29.47
ENSG00000001561.6	0.00	0.05	2.37	0.24	1.30	0.82	0.05	0.15	2.19	0.00	0.55
ENSG00000001617.10	63.13	153.61	8.71	14.16	2.54	7.63	32.87	33.85	1.15	35.94	2.24
ENSG00000001629.8	9.82	10.85	8.78	22.98	20.90	12.66	10.06	8.94	14.71	7.97	3.55
ENSG00000001630.14	72.52	36.19	13.46	54.33	42.55	32.07	57.65	23.33	40.19	57.80	15.46
ENSG00000001631.13	16.42	10.08	7.70	39.46	19.94	12.91	16.84	6.06	12.05	8.06	6.30
ENSG00000002016.15	10.73	6.26	4.89	10.95	12.00	7.37	7.54	8.56	8.84	8.91	16.74
ENSG00000002079.11	4.38	0.52	0.00	0.43	0.01	0.02	0.06	2.65	0.00	1.53	0.03
ENSG00000002330.12	89.83	174.43	59.43	40.04	15.63	76.00	89.14	102.07	108.60	67.22	80.60
ENSG00000002549.11	35.99	22.22	47.29	36.97	35.14	39.29	37.59	48.22	63.95	29.91	16.22
ENSG00000002586.16	137.23	93.22	262.08	193.61	51.58	120.00	166.46	231.31	160.66	115.84	150.65
ENSG00000002587.8	4.04	0.25	0.03	0.04	0.00	0.60	0.50	10.25	2.89	0.70	0.00
ENSG00000002726.18	0.16	4.29	0.00	0.09	0.00	0.03	0.48	0.32	0.35	2.35	0.00
ENSG00000002746.13	0.47	0.00	0.01	0.08	8.23	3.84	0.91	0.69	4.03	3.27	3.48
ENSG00000002822.14	18.16	6.76	31.03	17.36	20.42	136.69	13.05	21.13	26.27	32.87	108.97
ENSG00000002834.16	119.54	79.88	146.65	42.97	124.45	91.34	60.29	124.05	122.36	84.26	24.24
ENSG00000002919.13	13.69	8.08	8.87	6.45	18.97	11.64	10.22	11.75	17.08	15.56	11.94
ENSG00000002933.6	0.00	0.21	0.00	0.33	0.00	0.03	0.00	1.09	1.22	0.00	0.00
ENSG00000003056.6	112.30	56.29	81.16	152.47	96.47	73.90	59.56	71.52	77.81	130.55	83.31
ENSG00000003096.12	6.75	1.72	0.00	2.34	0.10	1.23	1.97	0.48	0.03	1.34	0.22
ENSG00000003137.7	16.92	0.52	0.21	1.68	2.48	1.72	4.30	7.85	13.63	7.51	0.76
ENSG00000003147.16	2.34	6.51	0.93	0.44	0.37	0.03	6.36	8.46	6.33	6.87	11.33
ENSG00000003249.12	2.03	8.95	13.00	3.16	1.04	4.31	2.16	21.73	18.70	4.32	0.98
ENSG00000003393.13	8.16	2.24	8.76	8.55	18.82	10.24	7.25	5.68	9.88	7.93	17.04
ENSG00000003400.13	0.86	0.31	0.03	1.05	0.07	0.42	0.11	1.92	1.93	0.30	0.07
ENSG00000003402.18	14.92	13.52	21.57	15.00	18.83	12.28	18.72	35.10	21.55	10.70	13.72
ENSG00000003436.13	8.14	0.41	93.47	8.35	13.75	43.02	34.62	63.15	54.22	5.05	2.94
ENSG00000003509.14	6.40	5.91	8.90	8.25	10.85	5.86	9.33	8.81	9.22	7.22	5.16
ENSG00000003756.15	50.65	58.76	55.84	109.60	64.97	51.85	45.50	34.84	46.71	24.24	31.23
ENSG00000003989.15	0.53	0.10	0.00	1.16	0.27	11.22	50.07	2.46	3.93	0.73	0.28
