id	ER-ERR1084763_PE	ER-ERR1084764_PE	ER-ERR1084765_PE	ER-ERR1084775_PE	ER-ERR1084805_PE	ER-ERR1084806_PE	ER-ERR1084811_PE	TN-ERR1084766_PE	TN-ERR1084768_PE	TN-ERR1084798_PE	TN-ERR1084799_PE	TN-ERR1084800_PE	TN-ERR1084801_PE	TN-ERR1084802_PE	TN-ERR1084803_PE	TN-ERR1084804_PE	TN-ERR1084807_PE	TN-ERR1084808_PE	TN-ERR1084809_PE	TN-ERR1084810_PE
ENSG00000001630	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00	1.89	0.00
ENSG00000002834	5410.00	6261.00	5692.00	7949.00	5565.00	13312.07	7711.00	4643.00	756.00	10578.00	6196.00	4522.00	4599.93	3353.02	7929.36	3485.00	3662.00	4830.00	2218.41	9798.59
ENSG00000003402	1.00	0.00	1.01	3.00	0.00	0.87	4.00	0.00	1.60	5.89	0.00	4.32	3.52	6.05	0.00	4.05	3.00	6.00	7.16	7.07
ENSG00000003436	0.00	0.00	0.00	1.00	0.97	0.00	0.00	0.00	0.00	4.00	1.00	0.00	1.04	0.00	1.00	0.00	0.00	0.00	1.01	0.00
ENSG00000003509	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00
ENSG00000004534	0.00	0.00	0.00	0.00	0.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSG00000004766	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.69	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00	0.00
ENSG00000004961	308.00	302.00	353.00	292.00	450.00	169.00	132.00	710.00	247.00	170.00	880.00	222.00	311.00	165.00	819.00	507.00	236.00	326.00	414.00	578.00
ENSG00000005073	0.00	0.00	0.00	0.00	2.00	0.00	2.00	326.14	703.33	4.00	6.00	187.53	0.00	0.00	17.00	2.00	78.80	41.74	21.00	5.00
ENSG00000005102	0.00	0.00	0.00	0.00	1.00	0.00	0.00	58.00	1.00	6.00	49.00	34.00	0.00	0.00	0.00	346.00	22.00	78.00	8.00	15.00
ENSG00000005421	0.00	0.00	0.00	0.00	3.00	33.00	1.00	8.00	4.00	7.00	0.00	7.00	17.00	2.00	16.00	1.00	10.00	0.00	6.00	120.13
ENSG00000005801	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00
ENSG00000005884	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00	0.00	0.00	0.00
ENSG00000005893	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00	0.00
ENSG00000006015	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00	0.00	3.29	0.00	0.00	0.00	0.00	0.00	0.00
ENSG00000006016	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00	0.00	0.00	0.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00	2.00
ENSG00000006210	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00	0.00	0.00	0.00	0.00	0.00
ENSG00000006432	0.00	0.00	0.00	0.00	0.00	0.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00
ENSG00000006468	5.00	11.00	8.00	0.00	10.00	20.00	8.00	78.00	54.00	6.00	2.00	1.00	1.00	43.00	3.00	117.00	15.00	1.00	78.00	328.00
ENSG00000006534	0.00	0.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSG00000006555	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSG00000006607	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSG00000006634	58.00	62.00	63.00	120.99	170.92	151.00	52.00	977.31	205.98	175.97	162.80	208.98	193.75	77.90	106.01	205.85	217.89	93.86	143.93	230.16
ENSG00000006638	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSG00000006756	6.00	3.00	1.00	0.00	2.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00	0.00	0.00	0.00	0.00	3.00	1.00	2.00	2.00
ENSG00000006831	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00	0.00	0.00	0.00	0.00
ENSG00000007392	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSG00000007908	0.00	0.00	3.00	0.00	0.00	0.00	0.00	35.00	8.00	8.00	9.00	47.00	31.00	3.00	0.00	1018.00	3.00	1.00	1.00	76.00
ENSG00000008056	0.00	0.00	0.00	0.00	0.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSG00000008283	0.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSG00000008838	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	4.00
ENSG00000008952	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00
ENSG00000008988	0.00	0.00	0.00	0.00	0.00	1.00	0.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00	0.00	0.00
ENSG00000009335	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSG00000009413	1.00	0.00	0.00	0.00	4.00	1.03	0.00	5.00	4.89	9.03	1.00	56.93	6.21	13.97	4.94	8.09	2.70	0.00	26.75	4.00
ENSG00000009765	0.00	0.00	0.99	0.00	1.06	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.06	0.00	0.00	0.00	0.00	0.00	0.00
