id	ER-ERR1084811_PE	ER-ERR1084806_PE	ER-ERR1084805_PE	ER-ERR1084775_PE	ER-ERR1084765_PE	ER-ERR1084764_PE	ER-ERR1084763_PE	TN-ERR1084799_PE	TN-ERR1084798_PE	TN-ERR1084768_PE	TN-ERR1084766_PE	TN-ERR1084810_PE	TN-ERR1084809_PE	TN-ERR1084808_PE	TN-ERR1084807_PE	TN-ERR1084804_PE	TN-ERR1084803_PE	TN-ERR1084802_PE	TN-ERR1084801_PE	TN-ERR1084800_PE
ENSG00000001630	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0
ENSG00000002834	7711	13312	5565	7949	5692	6261	5410	6196	10578	756	4643	9799	2218	4830	3662	3485	7929	3353	4600	4522
ENSG00000003402	4	1	0	3	1	0	1	0	6	2	0	7	7	6	3	4	0	6	4	4
ENSG00000003436	0	0	1	1	0	0	0	1	4	0	0	0	1	0	0	0	1	0	1	0
ENSG00000003509	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
ENSG00000004534	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000004766	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
ENSG00000004961	132	169	450	292	353	302	308	880	170	247	710	578	414	326	236	507	819	165	311	222
ENSG00000005073	2	0	2	0	0	0	0	6	4	703	326	5	21	42	79	2	17	0	0	188
ENSG00000005102	0	0	1	0	0	0	0	49	6	1	58	15	8	78	22	346	0	0	0	34
ENSG00000005421	1	33	3	0	0	0	0	0	7	4	8	120	6	0	10	1	16	2	17	7
ENSG00000005801	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
ENSG00000005884	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
ENSG00000005893	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
ENSG00000006015	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	1
ENSG00000006016	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	1	0
ENSG00000006210	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
ENSG00000006432	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
ENSG00000006468	8	20	10	0	8	11	5	2	6	54	78	328	78	1	15	117	3	43	1	1
ENSG00000006534	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000006555	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000006607	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
ENSG00000006634	52	151	171	121	63	62	58	163	176	206	977	230	144	94	218	206	106	78	194	209
ENSG00000006638	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
ENSG00000006756	0	0	2	0	1	3	6	0	0	0	0	2	2	1	3	0	0	0	0	1
ENSG00000006831	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
ENSG00000007392	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ENSG00000007908	0	0	0	0	3	0	0	9	8	8	35	76	1	1	3	1018	0	3	31	47
ENSG00000008056	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000008283	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000008838	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0
ENSG00000008952	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
ENSG00000008988	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0
ENSG00000009335	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
ENSG00000009413	0	1	4	0	0	0	1	1	9	5	5	4	27	0	3	8	5	14	6	57
ENSG00000009765	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
ENSG00000009950	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
ENSG00000010404	2	0	2	0	0	0	0	0	3	0	1	4	0	0	0	4	1	1	0	8
ENSG00000010539	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
ENSG00000010610	8	2	20	4	5	3	1	68	20	35	2119	20	10	0	804	0	12	21	10	116
ENSG00000010704	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
ENSG00000011243	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0
ENSG00000011275	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000011295	0	2	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
ENSG00000011454	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
ENSG00000011478	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	1	0	0	0
ENSG00000011638	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0
ENSG00000012232	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000012779	51	0	166	5	1	0	1	50	29	22	54	202	1058	2	108	0	1	0	196	20
ENSG00000013293	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0
ENSG00000013306	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
ENSG00000013364	0	0	0	0	0	0	0	0	1	2	0	0	0	0	1	0	0	0	0	0
ENSG00000014138	0	1	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	3	0	0
ENSG00000015479	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0
ENSG00000016082	7	0	0	0	0	0	0	0	0	14	87	6	0	0	3	10	0	10	0	20
ENSG00000017427	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
ENSG00000018610	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
ENSG00000019144	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ENSG00000021355	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	1	0	1
ENSG00000021574	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	1	1	0	0
ENSG00000021826	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0
ENSG00000022267	0	0	0	1	0	0	0	9	15	0	175	0	7	2	21	1	0	7	10	28
ENSG00000023228	0	0	0	0	1	0	1	0	1	0	0	1	0	0	0	0	0	0	0	1
ENSG00000025800	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0
ENSG00000026751	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0
ENSG00000033170	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	1	1	0
ENSG00000035928	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000036530	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
ENSG00000037749	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ENSG00000037757	784	660	841	1196	922	1128	996	1030	1904	2051	549	1070	902	2215	2118	3168	1334	952	1039	2576
ENSG00000038210	0	0	8	0	0	0	0	0	4	2	1	1	0	0	8	0	19	1	0	16
ENSG00000039319	0	0	0	0	0	0	1	2	1	1	0	2	2	0	0	0	0	0	0	2
ENSG00000042304	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
ENSG00000044115	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000046604	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ENSG00000047410	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ENSG00000047621	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
ENSG00000047648	0	0	30	1	1	0	0	26	2	1	43	34	20	0	1	6	33	9	24	8
ENSG00000048544	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
ENSG00000049239	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000049541	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ENSG00000050130	0	0	3	1	2	1	1	0	1	2	0	0	1	2	0	0	1	0	1	0
ENSG00000050393	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
ENSG00000050405	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
ENSG00000052723	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ENSG00000052802	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0
ENSG00000053372	0	0	3	0	2	1	0	1	0	0	0	0	0	0	1	4	0	2	2	0
ENSG00000053501	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0
ENSG00000053524	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0
ENSG00000054654	15	45	1	7	7	9	3	17	18	16	0	10	28	8	26	13	7	17	41	14
ENSG00000054690	0	0	0	0	0	0	0	0	1	0	2	0	0	0	1	0	0	0	0	0
ENSG00000055332	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
ENSG00000056972	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
ENSG00000057019	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
