id	184A1	184B5	21MT1	21NT	21PT	600MPE	AU565	BT474	BT483	BT549	CAMA1	EFM192A	EFM192B	EFM192C	HCC1143	HCC1395	HCC1419	HCC1428	HCC1569	HCC1806	HCC1937	HCC1954	HCC202	HCC3153	HCC38	HCC70	HS578T	JIMT1	LY2	MCF10A	MCF10F	MCF12A	MCF7	MDAMB134VI	MDAMB175VII	MDAMB231	MDAMB361	MDAMB453	MX1	SKBR3	SUM1315MO2	SUM149PT	SUM225CWN	SUM229PE	SUM52PE	T47D	T47D_Kbluc	UACC812	UACC893	ZR751	ZR7530	ZR75B
class	Normal-like	Normal-like	Basal	Basal	Basal	Luminal	Luminal	Luminal	Luminal	Claudin-low	Luminal	Luminal	Luminal	Luminal	Basal	Claudin-low	Luminal	Luminal	Basal	Basal	Basal	Basal	Luminal	Basal	Claudin-low	Basal	Claudin-low	Basal	Luminal	Normal-like	Normal-like	Normal-like	Luminal	Luminal	Luminal	Claudin-low	Luminal	Luminal	Basal	Luminal	Claudin-low	Basal	Luminal	Basal	Luminal	Luminal	Luminal	Luminal	Luminal	Luminal	Luminal	Luminal
ENSG00000147065	7.06	6.36	8.35	7.65	7.51	3.11	1.37	0.12	0.5	8.2	0	0.33	4.33	0.34	8.87	7.54	0.15	3.9	6.51	7.69	7.08	7.6	2.45	6.63	8.15	7.59	8.29	8.04	2	7.27	8.13	8.09	0	3.5	0.7	8.12	0.1	0.67	8.77	0.04	7.46	7.33	2.25	8.11	0.03	0.24	1.55	0.36	0.91	2.8	0.34	4.53
ENSG00000196754	12.81	11.98	5.83	6.66	6.59	3.85	2.33	2.34	2.28	7.19	1.54	2.35	1.45	2.44	11.77	6.1	1.36	1.4	2.32	11.84	8.5	9.66	3.63	9.58	6.45	7.99	4.22	3.9	3.48	12.78	10.62	12.85	1.48	0.54	2.46	3.33	1.77	2.88	6.92	0	6.41	8.41	3.77	10.83	3.43	2.96	3.06	1.86	3.58	1.64	2.68	3.17
ENSG00000235123	0	0	0.5	0.08	0	1.33	6.55	3.66	6.11	0	4.6	5.13	6.83	5.64	0	0	3.63	3.7	0	0	0	0	0.51	0	0	0	0	0	8.61	0	0	0	9.13	1	5.57	0	3.02	2.5	0	6.43	0	0	0	0.37	0.89	6.75	5.92	3.88	4.73	6.95	0.92	2.14
ENSG00000183853	4.61	3.79	5.35	5.42	5.68	3.61	1.96	0.07	0.66	6.21	0.01	1.51	2.55	1.49	5.79	5.7	0.1	0.31	4.79	3.95	5.55	3.53	2.49	5.18	6.35	3.04	5.46	3.59	0.9	4.73	5.31	5.01	0	0	1.63	4.36	0.2	0.11	5.1	0	7.33	4.98	1.09	5.06	1.49	2.52	3.49	1.71	0	0.57	0.12	2.21
ENSG00000167861	2.82	2.8	3.79	3.82	4.19	5.77	7.95	6.49	7.34	0.26	6.54	6.78	6.74	8.07	2.37	0.69	7.4	6.5	2.31	2.9	4.28	4.75	7.12	4.09	0.86	3.77	0.91	2.21	7.52	1.1	3.37	0.7	6.5	6.47	6.59	3.3	7.92	9.58	2.74	7.69	1.45	3.24	7.56	3.13	6.9	7.02	6.47	8.07	7.01	7.95	6.72	8.02
ENSG00000143878	5.87	5.46	5.37	5.69	5.4	6.45	7.75	6.97	7.44	4.19	8.18	7.28	8.24	7.83	4.28	2.46	8.35	8.22	4.18	3.56	2.93	3.59	6.55	3.14	2.01	2.26	6.09	4.36	8.05	3.98	7.18	5.77	6.78	8.18	6.97	4.8	7.21	8.43	6.1	7.69	3.69	5.83	5.14	4.13	7.25	6.44	6.44	7.69	7.36	6.73	6	7.59
ENSG00000134954	4.6	1.89	4.71	4.57	4.71	0	1.61	0	0.01	6.11	0	0	0	0	6.78	5.94	0	0	5.45	6.03	6.21	3.65	4.63	5.68	4.04	3.75	5.13	4.24	0.85	5.05	6.16	4.59	0	0	0.04	6.32	0	0.32	5.68	0.7	5.5	5.21	3.09	4.68	0.55	0.32	0.26	0	0	0.03	0.42	0
ENSG00000139531	3.67	3.5	3.8	4.18	3.79	4.1	5.32	3.96	4.69	3.07	4.26	5.15	4.32	5.29	2.67	3.65	4.93	4.67	2.12	3.27	3.17	3.38	5.36	3.5	3.7	3.82	3.15	2.98	5.14	2.73	3.09	2.78	4.53	4.47	4.43	3.24	4.05	4.69	3.14	4.32	3.42	2.88	3.36	3.4	4.37	6.3	5.47	4.98	5.17	4.04	4.36	3.89
ENSG00000065361	2.41	3.72	5.52	5.69	5.85	6.91	7.73	6.47	7.57	0.19	6.9	7.65	7.16	8.09	4.12	0.8	7.19	6.81	6.18	4.45	4.82	4.6	8.55	4.04	0.5	5.69	1.08	4.15	7.32	3.01	3.18	2.86	6.83	7.22	6.41	2.08	6.08	7.45	5.12	6.12	0.36	3.43	6.31	4.87	5.66	7.01	6.43	7.26	6.5	6.14	7.35	6.57
ENSG00000115468	0.32	0.07	3.38	2.49	2.61	7.04	7.2	7.48	7.85	1.2	8.3	6.47	7.46	8.15	5.26	2.77	7.71	7.2	5.26	0.77	2.56	2.65	6.89	5.83	0.46	3.44	0.31	3.29	1.93	0.11	0.41	0	6.14	5.86	6.21	2.54	5.86	6.21	5.57	7.5	0.96	1.65	7.28	0.8	7.52	7.82	6.92	7.29	8.03	7.78	6.44	5.73
ENSG00000160180	0	0.11	1.31	0.57	1.06	6.47	4.23	8.75	10.01	0	4.02	6.2	6.05	10.56	0.42	0.36	10.39	8.6	0.36	0	0.12	0.71	6.11	0.46	0	0	0.3	0.67	6.94	0.12	1.76	0	6.05	4.91	10.72	3.46	9.72	3.4	0	3.26	0	0	3.93	0	0.3	6.36	8.35	12.81	8.66	9.94	8.21	8.83
ENSG00000100219	5.8	4.43	4.56	4.63	4.47	9.32	7.99	9.33	9.26	5.36	8.94	8.12	6.96	8.52	5.24	6.73	9.71	8.22	7.84	6.13	5.34	6.75	7.08	6.15	5.13	7.52	5.15	5.24	8.05	5.88	6.13	4.57	9.9	9.13	9.8	5.49	9.4	10.01	7.44	8.62	4.66	4.78	9.21	4.7	7.93	9.39	8.94	9.43	7.38	10.18	9.67	9.85
