id	NoAdaptersSRR925687_NoPcr__PE	NoAdaptersSRR925688_NoPcr__PE	NoAdaptersSRR925697_NoPcr__PE	NoAdaptersSRR925703_NoPcr__PE	NoAdaptersSRR925714_NoPcr__PE	NoAdaptersSRR925716_NoPcr__PE	NoAdaptersSRR925720_NoPcr__PE	NoAdaptersSRR925721_NoPcr__PE	NoAdaptersSRR925726_NoPcr__PE	NoAdaptersSRR934634_NoPcr__PE	NoAdaptersSRR934636_NoPcr__PE
ENSG00000000003.13	9.13	10.12	13.89	11.66	20.88	5.99	8.11	9.27	12.06	1.54	1.73
ENSG00000000419.11	61.27	35.46	84.40	64.01	49.98	25.28	41.19	20.45	34.47	43.67	29.77
ENSG00000000457.12	2.15	3.27	2.10	4.62	2.90	1.92	3.83	2.68	3.96	2.36	1.03
ENSG00000000460.15	8.07	3.81	10.81	12.39	14.07	9.62	15.13	4.42	12.33	11.65	1.30
ENSG00000000971.14	3.15	0.39	13.76	12.78	4.89	12.78	3.09	1.86	5.89	0.00	0.00
ENSG00000001036.12	12.79	25.40	79.13	44.44	81.79	45.82	23.45	54.26	63.27	30.90	14.57
ENSG00000001084.9	20.58	61.36	11.21	54.48	23.46	15.54	107.27	73.65	16.05	21.27	13.65
ENSG00000001167.13	7.14	8.85	34.69	47.35	10.96	23.18	12.19	19.34	15.49	14.49	42.30
ENSG00000001460.16	7.97	4.59	1.86	6.12	3.19	5.75	4.77	11.54	8.40	2.86	17.35
ENSG00000001461.15	30.99	25.65	0.81	1.42	0.82	20.07	20.18	23.55	7.99	32.76	10.52
ENSG00000001497.15	35.81	17.47	66.44	30.08	77.41	24.41	33.40	26.12	40.69	46.13	29.09
ENSG00000001561.6	0.00	0.05	2.37	0.24	1.30	0.81	0.05	0.15	2.19	0.00	0.55
ENSG00000001617.10	62.19	152.78	8.71	14.16	2.12	7.62	32.80	33.83	1.15	35.92	1.89
ENSG00000001629.8	9.81	10.85	8.77	22.97	20.07	12.65	10.06	7.45	13.86	7.97	3.55
