id	dT-4_S4_L001	dT-4_S4_L002	dT-4_S4_L003	dT-4_S4_L004	dT-5_S5_L001	dT-5_S5_L002	dT-5_S5_L003	dT-5_S5_L004	dT-6_S6_L001	dT-6_S6_L002	dT-6_S6_L003	dT-6_S6_L004	rRNA-7_S7_L001	rRNA-7_S7_L002	rRNA-7_S7_L003	rRNA-7_S7_L004	rRNA-8_S8_L001	rRNA-8_S8_L002	rRNA-8_S8_L003	rRNA-8_S8_L004	rRNA-9_S9_L001	rRNA-9_S9_L002	rRNA-9_S9_L003	rRNA-9_S9_L004	Total-1_S1_L001	Total-1_S1_L002	Total-1_S1_L003	Total-1_S1_L004	Total-2_S2_L001	Total-2_S2_L002	Total-2_S2_L003	Total-2_S2_L004	Total-3_S3_L001	Total-3_S3_L002	Total-3_S3_L003	Total-3_S3_L004
RadishC_r007	4.33393	2.23462	2.78171	3.32763	2.17067	2.00866	2.34219	2.49189	2.78171	3.21874	2.78171	2.10978	2.93383	3.32763	3.21874	3.66751	3.02846	3.21874	3.12144	3.12144	5.45959	4.33393	3.12144	5.37064	7.83241	7.40671	8.04366	7.92045	0	7.64731	8.17639	7.87664	6.70686	6.68461	6.88244	7.7476
RadishC_r008	1.68447	2.28001	5.69709	2.10978	1.22254	2.38448	2.08309	3.59483	1.67141	1.98984	2.63763	2.70661	3.91554	1.66635	1.44633	2.23462	3.91554	2.78171	1.30947	2.38448	3.21874	1.83653	1.65115	2.17067	7.20638	6.12249	7.374	6.33328	0	7.52672	6.79459	7.46221	6.45834	6.96224	6.73578	6.70196
RadishC_t004	4.52287	4.14495	4.52287	4.33393	4.52287	4.52287	4.52287	4.52287	4.52287	4.52287	4.52287	4.52287	4.52287	4.52287	4.52287	4.52287	4.52287	4.52287	5.00395	4.52287	5.11799	4.52287	4.52287	4.52287	5.62402	5.70711	5.75574	5.69036	0	5.59099	5.57973	5.38907	5.4848	5.33754	5.45959	5.28827
RadishC_r002	2.17067	3.02846	1.66635	2.63763	2.70661	2.44112	2.57492	1.05646	1.89927	2.49189	2.17067	2.13983	2.23462	0.921677	1.71983	0.921677	1.93636	2.38448	1.66128	1.87062	2.70661	2.78171	1.68447	2.93383	5.42495	6.35089	5.43808	6.82111	0	5.78074	5.66643	6.36819	5.77765	5.57595	5.17615	6.80017
RadishC_t022	3.66751	3.32763	3.77483	3.66751	3.51657	3.59483	3.51657	3.51657	3.66751	3.66751	3.51657	3.43739	3.51657	4.14495	3.43739	3.91554	3.43739	3.02846	3.59483	3.77483	3.43739	3.32763	3.43739	3.59483	5.0814	5.2575	5.37528	5.41165	0	5.21494	5.20949	5.11199	5.0626	5.15329	5.11799	5.02388
RadishC_r001	2.1962	0	1.68447	1.22254	1.23852	1.63596	2.10978	1.07864	0.982711	0.51986	1.81704	3.77483	1.796	1.92182	1.80399	0.385082	1.48484	0.93294	1.85194	2.03327	2.93383	1.81704	2.1962	2.57492	5.1358	4.52287	5.6204	5.6204	0	5.15329	4.52287	6.33683	4.52287	5.39363	5.00395	5.46806
C327_r03	4.14495	4.33393	4.14495	4.52287	4.14495	4.33393	4.14495	4.33393	4.33393	4.33393	4.33393	4.33393	4.14495	3.77483	4.33393	4.14495	4.33393	4.14495	4.33393	4.33393	4.33393	4.14495	4.33393	4.33393	3.43739	3.66751	3.91554	3.32763	0	3.77483	3.02846	3.32763	3.59483	3.91554	3.51657	3.43739
RadishC_t021	3.21874	3.66751	3.43739	2.93383	3.32763	3.21874	3.59483	3.12144	3.51657	2.70661	3.59483	3.51657	3.77483	3.66751	3.77483	3.51657	3.32763	3.51657	3.91554	3.51657	4.14495	3.59483	3.77483	3.66751	4.33393	4.33393	4.33393	4.33393	0	4.52287	4.33393	4.52287	4.33393	4.52287	4.52287	4.52287
RadishC_t012	3.12144	3.12144	3.02846	3.12144	3.59483	3.91554	3.66751	3.66751	3.43739	3.59483	3.21874	3.32763	3.59483	3.59483	3.51657	3.21874	3.51657	4.33393	4.14495	3.66751	3.59483	3.43739	3.91554	3.51657	4.52287	4.14495	4.52287	4.52287	0	4.14495	3.91554	4.33393	4.14495	4.14495	4.33393	4.14495
RadishC_t001	3.02846	2.84694	3.21874	2.70661	2.63763	3.02846	2.84694	2.93383	2.93383	3.02846	2.93383	2.84694	2.84694	2.49189	3.66751	3.43739	3.59483	3.59483	3.32763	2.93383	3.02846	2.44112	2.93383	3.21874	3.66751	3.91554	3.66751	3.66751	0	3.91554	3.59483	3.77483	3.66751	3.59483	3.66751	3.77483
