id	GeneSymbol	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSG00000000003.13	TSPAN6	233.9933394	-0.318320098	0.612925174	-0.519345772	0.60351964	0.806381416
ENSG00000000005.5	TNMD	0	0	NA	NA	NA	NA
ENSG00000000419.11	DPM1	507.5489598	-0.12219397	0.45442906	-0.26889559	0.788010031	0.907774231
ENSG00000000457.12	SCYL3	110.7601664	-0.011502901	0.504289352	-0.022810121	0.981801734	0.992429466
ENSG00000000460.15	C1orf112	237.5601271	-0.425100658	0.604423469	-0.703315937	0.481858881	0.72564665
ENSG00000000938.11	FGR	2.83274649	4.355518916	1.474758429	2.953377876	0.003143169	0.033355911
ENSG00000000971.14	CFH	190.6906777	-2.330614351	1.161438543	-2.006661794	0.044785687	0.196731053
ENSG00000001036.12	FUCA2	1191.934853	-0.726958366	0.612937686	-1.186023282	0.235613105	0.502622557
ENSG00000001084.9	GCLC	761.6709249	1.237048679	0.611094148	2.024317665	0.042937477	0.192247218
ENSG00000001167.13	NFYA	712.1199156	-0.919875694	0.422977475	-2.174762839	0.029647893	0.152311354
ENSG00000001460.16	STPG1	209.9134053	0.04554436	0.675006271	0.067472499	0.946205555	0.978230579
ENSG00000001461.15	NIPAL3	1100.210591	1.413238797	0.68902888	2.051058872	0.040261214	0.184730025
ENSG00000001497.15	LAS1L	1182.685177	-0.319934819	0.426178561	-0.750706039	0.452829588	0.705808615
ENSG00000001561.6	ENPP4	38.82367554	-4.415897926	0.882397782	-5.004429991	5.60E-07	2.36E-05
ENSG00000001617.10	SEMA3F	1147.353819	3.860691254	0.668818748	5.77240286	7.81E-09	5.11E-07
ENSG00000001626.13	CFTR	0.230695155	-1.007966868	3.132273121	-0.32180044	0.747603881	NA
ENSG00000001629.8	ANKIB1	738.3878969	-0.362882124	0.430923969	-0.842102436	0.399730618	0.664492198
ENSG00000001630.14	CYP51A1	1529.891881	0.85908434	0.452138432	1.900047151	0.057426932	0.22821145
ENSG00000001631.13	KRIT1	310.922284	-0.447067963	0.589671083	-0.758164976	0.448352225	0.702391116
ENSG00000002016.15	RAD52	129.454172	0.046596076	0.334087189	0.139472802	0.889076547	0.95368995
ENSG00000002079.11	MYH16	24.46579556	3.924791448	1.201748333	3.265901304	0.001091163	0.015044588
ENSG00000002330.12	BAD	771.1135635	0.878096142	0.520905459	1.685711153	0.091851448	0.299374648
ENSG00000002549.11	LAP3	819.5433127	-0.017642874	0.348023371	-0.050694508	0.959568953	0.983461955
ENSG00000002586.16	CD99	1884.882148	0.199098189	0.468084688	0.425346512	0.670584092	0.846186634
ENSG00000002587.8	HS3ST1	67.38975572	2.81944914	1.265725977	2.227535179	0.025911527	0.139646452
ENSG00000002726.18	AOC1	22.71304091	4.493512242	1.369682989	3.28069508	0.001035516	0.014446419
ENSG00000002745.11	WNT16	0.14209645	0.683572527	3.149695035	0.217028163	0.828186397	NA
ENSG00000002746.13	HECW1	46.4453455	-2.187569493	1.164427028	-1.878666023	0.06029011	0.234846152
ENSG00000002822.14	MAD1L1	697.682358	-0.886993114	0.676036087	-1.312049951	0.189503281	0.449105885
ENSG00000002834.16	LASP1	4577.895656	0.258678655	0.508707341	0.508501911	0.611101399	0.811077984
ENSG00000002919.13	SNX11	305.8028882	0.245684136	0.384442093	0.63906669	0.522779548	0.755607607
ENSG00000002933.6	TMEM176A	3.5714911	0.486965582	1.931268981	0.252147985	0.800926681	0.915609542
ENSG00000003056.6	M6PR	1737.366127	0.038379324	0.377895557	0.101560666	0.919105402	0.96687156
ENSG00000003096.12	KLHL13	55.81172351	1.931573177	1.150214041	1.679316291	0.093090418	0.301458104
